OC,soil_types,tem,tp,pm,st,slope,twi,lc_1,ele,NDVI
12.6,31,290.987854,2.33E-08,2110,2,0.389302671,25.71487617,18,17.11371803,0.296000004
10.9,126,290.862854,2.40E-08,2140,4,1.907796979,10.30966377,12,41.43493271,0.25999999
14.4,31,291.1690063,2.10E-08,2110,2,0.31396538,14.06035519,12,19.29080391,0.275999993
20.4,31,291.0975342,1.98E-08,2110,2,1.006836295,24.76457596,12,69.31289673,0.287999988
7.3,31,290.8937683,2.07E-08,2140,3,1.029383898,24.74242401,12,107.2460938,0.344000012
15.1,31,290.9548645,2.13E-08,2140,3,2.568582296,23.82746887,17,129.3069763,0.375999987
42.8,126,290.4997864,2.48E-08,2140,4,4.808869839,11.58039284,18,35.70520401,0.412
6,31,291.0299072,2.10E-08,2140,3,1.168150783,24.61593246,12,139.6007233,0.287999988
10.5,38,291.0611877,2.33E-08,4110,2,0.361428976,15.73485851,13,10.83230591,0.547999978
34.4,31,289.219696,2.59E-08,2140,4,6.448591232,9.087885857,23,419.960083,0.671999991
12.5,38,291.015625,2.29E-08,4110,2,3.530372381,23.50882339,23,132.1299286,0.384000003
29.3,38,287.7734375,2.83E-08,4110,2,1.234810829,24.56042099,29,845.6340332,0.768000007
21.3,38,291.2106934,2.25E-08,4110,2,7.152235985,22.79885483,12,130.4944611,0.467999995
22.2,31,288.4761963,2.62E-08,2140,4,4.389803886,10.57335091,23,490.6045227,0.731999993
16.8,34,289.8228149,2.28E-08,4110,2,5.510128975,9.939452171,28,257.1472168,0.492000014
5.4,86,291.1452026,1.75E-08,7200,1,0.159827709,15.35458755,29,33.15032196,0.372000009
7.4,128,291.3242188,1.90E-08,2140,4,0.315382212,25.92545319,12,43.53749466,0.340000004
8.1,128,291.6776733,1.76E-08,2140,4,0.234547317,26.22158432,15,32.47561264,0.25999999
16.4,31,290.7436218,2.33E-08,2140,4,1.918444514,13.83045483,12,176.122757,0.335999995
13.4,31,291.7162781,1.77E-08,2140,4,0.980296195,24.79129601,12,24.05367661,0.268000007
16.7,31,291.4997253,1.89E-08,2140,4,0.393837512,13.49722099,13,25.91698647,0.272000015
18.5,128,291.6641235,1.75E-08,5400,4,1.318675995,24.49468803,15,52.29478455,0.228
13.7,,291.7052002,1.71E-08,,,0.045237821,21.47894859,40,0.011450676,0.472000003
4,31,291.5378113,1.84E-08,5400,2,0.762767315,13.62462044,13,17.26390266,0.560000002
9.5,128,291.7204285,1.72E-08,5400,4,0.135168761,15.52216148,13,1.743011594,0.43599999
10.9,126,291.3739929,1.86E-08,2140,4,0.430016309,25.61540604,12,56.59399414,0.307999998
12.2,126,291.3144531,1.86E-08,2140,4,0.782242417,25.01702118,12,75.37001038,0.280000001
9.3,128,291.6612854,1.73E-08,5400,4,0.024386998,28.48519707,13,1.916492581,0.551999986
9.1,126,291.3778687,1.89E-08,2140,4,0.200984567,16.45232582,12,53.72875977,0.328000009
10.3,128,291.6075745,1.74E-08,5400,4,0.433371902,25.60763359,20,5.649668694,0.467999995
6,31,291.1779785,1.96E-08,2110,2,1.272494674,24.53034973,17,112.7622757,0.296000004
8.1,31,291.4354553,1.99E-08,5400,2,0.519596457,18.54602814,13,29.85404205,0.60799998
13.3,126,291.2042236,2.02E-08,2140,4,0.693676829,25.13719368,12,78.13732147,0.34799999
14.4,128,291.5554199,1.82E-08,2140,4,0.238404855,16.65244102,13,24.70556259,0.239999995
11.9,31,291.1365051,1.92E-08,2140,4,1.271121144,24.53142929,12,138.6937866,0.216000006
7.1,31,290.8680115,2.24E-08,2140,4,1.129859686,13.82949162,12,139.6490021,0.328000009
15.4,128,290.9196167,2.21E-08,2140,4,0.30027765,14.79807854,13,144.0063629,0.536000013
13,31,291.5436401,1.76E-08,2140,4,0.230341643,26.23967934,13,124.7275696,0.231999993
11.4,31,291.0340271,1.97E-08,2140,3,0.168907225,26.54989624,13,186.8783264,0.272000015
